index,composition,
360,FeSi2,1
361,RbInSnS4,1
362,Ba2NdGaS5,1
363,Ga0.99P0.99Zn0.01Se0.01,1
364,EuLiH3,1
365,AgInSe2,1
366,Pb4Ga5GeSe12,1
367,Ba2InTaO6,1
368,Ca6Bi6O15,1
369,RbCd4Ga5Se12,1
370,Pb0.99Te0.99Ge0.01S0.01,1
371,Tl2Te3,1
372,CdTe,1
373,LiNbO3,1
374,LiInTe2,1
375,PtSb2,1
376,As2S3,1
377,SbSI,1
378,GaN,1
379,As2Te3,1
380,Zr6O,1
381,K6Nb2.97Ta1.03S25,1
382,Cu2MgSiS4,1
383,InAs,1
384,UP2S9,1
385,LiInS2,1
386,Sn3As2,1
387,InP,1
388,NaAsSe2,1
389,Ga0.4As0.4Zn0.6Se0.6,1
390,GaAs0.65Sb0.35,1
391,TaGaSe2,1
392,Mn11Si19,1
393,Mg2Sn,1
394,CdSe,1
395,NaSbTe2,1
396,Pb17O8Cl18,1
397,KH2PO4,1
398,Hg3PS3,1
399,ZnS,1
400,Cu2ZnGeSe4,1
401,Tb2GeS5,1
402,CI4,1
403,ZrS3,1
404,Ag3AsSe3,1
405,KI,1
406,Mg2Sn,1
407,Ce2Te3,1
408,Cs2Bi8.81La1.19S16,1
409,Cs2Ta2P2Se12,1
410,Tl3TaS4,1
411,Rb2Zn3Se4O12,1
412,CuIn3Se5,1
413,Tl2InGaTe4,1
414,Ga0.95Sb0.95Hg0.05Te0.05,1
415,SrZrS3,1
416,Cd4P2Br3,1
417,Ca3Ti2Si3O12,1
418,Bi2Mo2Se2O13,1
419,Cu2ZnSiS4,1
420,BiCuOS,1
421,CdGeAs2,1
422,Ga0.6Al0.4P,1
423,PtSb2,1
424,CsYTe3O8,1
425,Cu3SbS4,1
426,Ba23Ga8Sb2S38,1
427,CdF2,1
428,Nd2YbCuS5,1
429,Ba2HgS5,1
430,AgTe,1
431,ZnSe,1
432,Ag3AsS3,1
433,CuNbO3,1
434,In5Se6,1
435,CdIO4H,1
436,CuGa2S3.5,1
437,Pb0.97Sn0.03Te,1
438,Ba3ThSe7,1
439,Ag3AsS3,1
440,ZnYBiO4,1
441,Hg3Te2UCl6,1
442,PbGa4S7,1
443,MoO3,1
444,ErSe2,1
445,CuTlSe2,1
446,KAsSe2,1
447,SmCuOS,1
448,CsYZnSe3,1
449,LiB3O5,1
450,BiI3,1
451,InSb0.7As0.3,1
452,Bi0.2Te3Sb1.8,1
453,K2FeGe3Se8,1
454,GaS,1
455,Zn0.01Cd0.99Se,1
456,CuBr,1
457,KI,1
458,CuBr,1
459,Bi2Te0.6Se2.4,1
460,AlP,1
461,Bi2Te0.03Se2.97,1
462,RbCu4AsS4,1
463,ZnGeP2,1
464,YPdSb,1
465,GeSe,1
466,Pb0.94Se0.94Sn0.06Se0.06,1
467,LiNbO3,1
468,Sb2Te3,1
469,CdGeP2,1
470,KI,1
471,Hg0.01Cd0.99Se,1
472,MnSb2O4,1
473,Cu0.2Ga1.8S2.8,1
474,Cs2Ba3P4O14,1
475,LiRbCO3,1
476,SnSe,1
477,OsP4,1
478,Sb2Se3,1
479,Pb0.94Sn0.06Se,1
480,Rb4Ge3B6O17,1
481,Eu2Se3,1
482,ZnGeP2,1
483,CdGeAs2,1
484,GaSe,1
485,As2S3,1
486,GeS,1
487,CsBr,1
488,Cs3Bi2I9,1
489,Pb0.995TeGa0.005,1
490,Cd3P2,1
491,In0.9P0.9Ga0.1As0.1,1
492,As2S3,1
493,Na3Sb,1
494,Ca2SnS4,1
495,EuO,1
496,ZrO2,1
497,CsInSn2Se6,1
498,TlCl,1
499,RbGeB3O7,1
500,Cd0.01Te0.01Al0.99Sb0.99,1
501,CsGdZnTe3,1
502,LiGaO2,1
503,Ag2GeTe3,1
504,KTiPO5,1
505,AsI3,1
506,As4S4,1
507,RhSbTe,1
508,NaSbSe2,1
509,GaN,1
510,TlCr5S2Se6,1
511,K2AgIn3Se6,1
512,BaF2,1
513,ZnSnP2,1
514,Ga0.15As0.15Zn0.85Se0.85,1
515,CsGaSnSe4,1
516,Ca10Ge16B6O51,1
517,CdIn,1
518,Ba2InGdTe5,1
519,Rb3Ta2AsS11,1
520,HgIn2Te4,1
521,FeSi2,1
522,RbScSe2O6,1
523,BaIn2Se4,1
524,Ag2O,1
525,GeS,1
526,BaF2,1
527,TlBr,1
528,SrS,1
529,AsSI,1
530,CaTaO2N,1
531,Pb0.999Sn0.001Te,1
532,NaSb,1
533,NaAsSe2,1
534,AgAsS2,1
535,K3Bi2I9,1
536,ErTe,1
537,LiCdBO3,1
538,Na2ZnSn2S6,1
539,Ca2Sn,1
540,GeS2,1
541,Cu2ZnSiSe4,1
542,Sm2Te3,1
543,K3Ta2AsSe11,1
544,K4Nb2S11,1
545,SnGe,1
546,Mg2Sn,1
547,Zn0.43Cd0.57Se,1
548,LaH2NO5,1
549,TlS2,1
550,Bi2Te2.4Se0.6,1
551,Sr3BiP3O12,1
552,ZrSe2,1
553,BaIn2P4O14,1
554,La2NiVO6,1
555,TiO2,1
556,Sn0.5GaZn5.5O8,1
557,CdS,1
558,K2PbGe2S6,1
559,Rb4GeP4Se12,1
560,CsTa3Se2O12,1
561,Hg0.01Zn0.99Te,1
562,Ge0.02Si0.98,1
563,Cd4As2Br3,1
564,PbBiO2Cl,1
565,CuInSe2,1
566,CdSe,1
567,EuBi2Te4,1
568,La4InSbS9,1
569,ZnS,1
570,SbI3,1
571,YbIn3S6,1
572,GaAs,1
573,Ag8GeS6,1
574,Cs4GeP4Se12,1
575,AgN3,1
576,Sm1.82Lu2.18Se6,1
577,Si2Te3,1
578,LaMg2PdH7,1
579,SiAs,1
580,CsErZnSe3,1
581,GaSb,1
582,Pb2Nb2Se4O15,1
583,RbAg5P2S8,1
584,Ba2InYTe5,1
585,LiZnN,1
586,In0.7Al0.3P,1
587,CdSe,1
588,KTa3Te2O12,1
589,KI,1
590,TlSe,1
591,Zn3Sb2,1
592,LuIn3S6,1
593,Hg8As4Bi3Cl13,1
594,AgN3,1
595,PbI2,1
596,Na2Hg3Sn2S8,1
597,AgTlTe2,1
598,Pb3BiV3O12,1
599,K2Nd2Ti3O10,1
600,Pb0.99Sn0.01Te,1
601,Zn3As2,1
602,Na2Hg3S2.51Se1.49,1
603,BaIr2Ge4S6,1
604,Ba3GeS5,1
605,HgSe,1
606,EuSe,1
607,Tl4GaIn3S8,1
608,CaO,1
609,Li2B4O7,1
610,KI,1
611,K3CdB5O10,1
612,KSbS2,1
613,RbBr,1
614,Hg0.2Cd0.8Se,1
615,Pb0.85Sn0.15Se,1
616,Bi2Te2SO10,1
617,Hg0.06Zn0.94Te,1
618,ZnSe,1
619,KSm2CuS4,1
620,MgO,1
621,SnS0.25Se0.75,1
622,Rb9Bi13S24,1
623,La20Mo12O63Cl4,1
624,Bi3TeBO9,1
625,AgInSe2,1
626,Li2HgGeS4,1
627,In2Se3,1
628,PtSb2,1
629,FeAsS,1
630,Bi2O2CO3,1
631,Ge0.774Si0.226,1
632,Cu2CdGeS4,1
633,Ba2V4Te3O18,1
634,CuP2,1
635,Pb0.999Sn0.001Te,1
636,TlInSe2,1
637,Mg2Sn,1
638,K2AuI5O15,1
639,CuI,1
640,NbIrSn,1
641,Pb0.85Sn0.15Te,1
642,CdIn30Te46,1
643,CoPS,1
644,CsLaHgSe3,1
645,La6Sb4S3O12,1
646,Hg0.14Zn0.86Te,1
647,As2Se3,1
648,InP,1
649,TlPS2,1
650,Bi3Se2NO11,1
651,Pb0.65Se0.65Sn0.35Te0.35,1
652,FeSi2,1
653,GaAs0.2Sb0.8,1
654,In2Se3,1
655,Ni2Te3O8,1
656,LiSbTe2,1
657,Sr4V2Se6O21,1
658,LiBiS2,1
659,Hg7.5As4Cl6,1
660,KH2PO4,1
661,RbCdB3O6,1
662,Rb3Ag9P4S16,1
663,KZn4B3O9,1
664,AlP,1
665,CaS,1
666,InAs,1
667,Sr8Ga16Ge30,1
668,BiSBr,1
669,In2P3B1O12,1
670,InSe,1
671,Cs2PdSe8,1
672,Sb8O11I2,1
673,Ga0.01Sb0.01Zn0.99Te0.99,1
674,ScPdSb,1
675,Bi2Se3,1
676,RbCd4Ga5Te12,1
677,CuGaS2,1
678,InP,1
679,Ba3Nb2Se9,1
680,GaAs,1
681,Pb0.9Mn0.1Te,1
682,As2S3,1
683,Rb2GeB4O9,1
684,InSb0.1As0.9,1
685,CdSnAs2,1
686,CdS,1
687,Tl2SeAs2Te3,1
688,LiSm3SiS7,1
689,Pb0.9Se0.9Bi0.2Te0.3,1
690,GaSb,1
691,Pt0.97S2,1
692,ThOTe,1
693,CdSb,1
694,ZnO,1
695,CsInSnS4,1
696,CdTe,1
697,PbGa2S4,1
698,PbTe,1
699,Pb0.99Se0.99Ge0.01Te0.01,1
700,Cs2ZnGe3S8,1
701,CuCl,1
702,Zn2MoSeO7,1
703,Pb0.01Sn0.99Te,1
704,Ga2Se3,1
705,Tb4Al2O9,1
706,Li2HgGe,1
707,CsAu,1
708,In0.5Al0.5P,1
709,PtS,1
710,Ba2SmTaO6,1
711,CeBiW2O9,1
712,Bi9O7.5S6,1
713,SbTeI,1
714,Rb2Cd3B16O28,1
715,K2Ta15O32,1
716,CdSe,1
717,Hg0.14Zn0.86Te,1
718,CdSb,1
719,Li2ZnSnS4,1
720,EuYb2S4,1
721,Rb2CuNbSe4,1
722,ZnTe,1
723,CsB3O5,1
724,SrTiO3,1
725,Pb0.9Ge0.1Te,1
726,Cu2Se,1
727,EuBi2Se4,1
728,Rb3Nb2AsSe11,1
729,KTi2F7,1
730,TlSbS2,1
731,Mn11Si19,1
732,TlSe,1
733,Cd4LuB3O10,1
734,VO2,1
735,Cu0.8Ga1.2Se2.2,1
736,CdIn2Se4,1
737,Bi38ZnO58,1
738,KI,1
739,Na2Hg3Si2S8,1
740,GaS,1
741,RhSSe,1
742,SrPr2S4,1
743,CsAsSe2,1
744,GaAs0.86Sb0.14,1
745,PrFMoO4,1
746,Ge0.9355Si0.0645,1
747,PtAs2,1
748,CsYCdSe3,1
749,Cd4As2I3,1
750,AgInSe2,1
751,Ga0.4Al0.6As,1
752,Sc2S3,1
753,Zn0.85Hg0.15Se,1
754,CdIn2Te4,1
755,HgO,1
756,Zn0.01S0.01Ga0.99P0.99,1
757,Sb2S3,1
758,Tb2Mo3O12,1
759,GaSe,1
760,TaGaSe2,1
761,HfSe2,1
762,Ag2GeSe3,1
763,Rb3Bi2I9,1
764,CuInTe2,1
765,Cd0.55Te0.55Al0.45Sb0.45,1
766,AlSb,1
767,Hg2Cl2,1
768,Ag4Ba6Sn4S16,1
769,Nd2Te3,1
770,Ba2GaGdTe5,1
771,Mn3Ta2O8,1
772,RuSb2,1
773,Cs3Sb,1
774,Li2GaGe2Se6,1
775,GaSe,1
776,Gd2Se3,1
777,Rb2Cu2Sn2S6,1
778,LiI,1
779,Eu3S4,1
780,ZnSe,1
781,RbBr,1
782,AlP,1
783,BaHgS2,1
784,BaB2O4,1
785,Li9Ga13Te21O66,1
786,BiSb0.15,1
787,Ag0.1Cd0.8In2.1Te4,1
788,In2As2O5Cl2,1
789,CdTlS2,1
790,Cd3As2,1
791,InSb,1
792,Eu2O3,1
793,TlInS2,1
794,Na2PtI6O18,1
795,K6Nb1.07Ta2.93S22,1
796,OsSbTe,1
797,AlSb,1
798,SnS,1
799,Ag2O,1
800,InN,1
801,YVTeO10,1
802,PtSb2,1
803,Bi1.4Te3Sb0.6,1
804,KPbPO4,1
805,SiSe2,1
806,Na2Zn3Se4O12,1
807,PbTe0.05Se0.95,1
808,In4Te3,1
809,CsBiS2,1
810,Ba4CuInSe6,1
811,SrSnO3,1
812,VO2,1
813,Tl3VS4,1
814,CuCl,1
815,Na2Be4B4O11,1
816,Ce2S3,1
817,RhP2,1
818,Ga0.99As0.99Zn0.01Se0.01,1
819,Cd3As2,1
820,CuI,1
821,Sb2Se3,1
822,Ce2Ge2Se7,1
823,ZnAs2,1
824,NaBiS2,1
825,ZnO,1
826,Hg0.25Zn0.75Te,1
827,As2Te3,1
828,Eu7Ga6Sb8,1
829,ZnS,1
830,SmBiW2O9,1
831,CrSi2,1
832,PbS,1
833,Ga0.99Sb0.99Hg0.01Te0.01,1
834,YPtSb,1
835,ZnSe,1
836,OsSbS,1
837,CdS,1
838,Sb2S3,1
839,K4GeP4Se12,1
840,AgBiSe2,1
841,CsInS2,1
842,In0.3As0.3Ga0.7P0.7,1
843,NaAsSe2,1
844,TlCl,1
845,Cs2AgBiCl6,1
846,CdSnP2,1
847,CuGaS2,1
848,Ba2GaBiTe5,1
849,Ca3B2N4,1
850,BaUSe3,1
851,Sb2Se3,1
852,SmIn3S6,1
853,ZnIn2S4,1
854,Cu0.5Pb1.75GeS4,1
855,ZnTe,1
856,PAs,1
857,FeAsSe,1
858,Sb2O3,1
859,KInGeS4,1
860,Ba2SnSe5,1
861,ZrS3,1
862,Mn15Si26,1
863,Pb0.94Se0.94Sn0.06Se0.06,1
864,Hg0.9Cd0.1Se,1
865,HoN,1
866,Zn3Sb2,1
867,Cu0.2Ga1.8Se2.8,1
868,Rb2CdP2Se6,1
869,Pb0.92Se0.92Sn0.08Te0.08,1
870,Ag3SbS3,1
871,Cs2Hg4.65Cd1.35S7,1
872,TiSe2,1
873,In0.7P0.7Ga0.3As0.3,1
874,SnI2,1
875,GaS,1
876,Bi2Te1.5Se1.5,1
877,Pb0.85Se0.85Ge0.15S0.15,1
878,NaI,1
879,OsP2,1
880,CdSiP2,1
881,Na2In4SSe6,1
882,CuAlSe2,1
883,Cu3YbS3,1
884,RbSbTe2,1
885,Pb3BiP3O12,1
886,Ce8Sb2S15,1
887,Ba2Ca2B4O10,1
888,ZnSb,1
889,K2AgVS4,1
890,BaCuSbSe3,1
891,GaHSeO4,1
892,GaSe,1
893,Ga0.75As0.75Zn0.25Se0.25,1
894,ZnS,1
895,RbBiSe2,1
896,GeSe2,1
897,Cu0.4Ga1.6S2.6,1
898,ZnTe,1
899,ZnTe,1
900,Cs3Nb9Te4O32,1
901,Cd5Ga2S2Te6,1
902,AgSbS2,1
903,In0.01P0.01Ga0.99As0.99,1
904,BiCuOSe,1
905,Cu4Sn7S16,1
906,ZnTe,1
907,Ce1.3Lu0.7S3,1
908,InP,1
909,LiGaS2,1
910,Ag2.7Ba6Sn4.3S16,1
911,Sm2YbCuS5,1
912,Pb0.85Sn0.15Se,1
913,K2Hg3Ge2S8,1
914,CsScSe2O6,1
915,CdTe,1
916,GaN,1
917,La2HfS5,1
918,PbSe,1
919,Ba2B4O9H2,1
920,ZrSe3,1
921,Cu2Se,1
922,CdGa2Se4,1
923,InN,1
924,AgAsS2,1
925,SnS0.01Se0.99,1
926,Mg3Sb2,1
927,ZrC,1
928,NaI,1
929,CdSnP2,1
930,PtS,1
931,TaGaS2,1
932,CsBiS2,1
933,ZnSe,1
934,Sr2ScSbO6,1
935,CdGa2S4,1
936,KBiSe2,1
937,HgTe,1
938,La3FMo4O16,1
939,TlN3,1
940,Sb2Se3,1
941,VO2,1
942,Cs4Th2P6S18,1
943,Mg2Si,1
944,CsSbTe2,1
945,Ga0.6In0.4As,1
946,In0.99As0.99Cd0.01Te0.01,1
947,Ga0.5In0.5As,1
948,PbSe,1
949,RbBi3Se5,1
950,TbIn3S6,1
951,PbCoO3,1
952,KSbSe2,1
953,RbH2I3O9,1
954,EuN,1
955,CuAlTe2,1
956,Bi2Te0.3Se2.7,1
957,La2Se3,1
958,Tl3VS4,1
959,Na2Ti3O7,1
960,Pb0.995TeIn0.005,1
961,CdSe,1
962,In0.9As0.9Ga0.1P0.1,1
963,RbCaBO3,1
964,CuInS2,1
965,ZnO,1
966,Cu0.5Ga1.5Se2.5,1
967,KGaSe2,1
968,KIO3,1
969,Ga0.9Sb0.9Zn0.1Te0.1,1
970,PdTe2,1
971,Zn3B2O6,1
972,CuGaSe2,1
973,RbNb3Te2O12,1
974,Tl2S,1
975,ZnS,1
976,CdAs2,1
977,LiGaSe2,1
978,CdSe,1
979,GaTc,1
980,CdIn2S4,1
981,GaAs,1
982,AlSb,1
983,Pb0.85Sn0.15Te,1
984,Pb0.77Sn0.23Te,1
985,CdSiP2,1
986,K2Se,1
987,SbSI,1
988,In6Se7,1
989,Sb2Se3,1
990,InP,1
991,GaAs0.8P0.2,1
992,Bi24BO39,1
993,Cu2MgGeS4,1
994,BaGa2GeS6,1
995,K10Co4Sn4S17,1
996,PbS,1
997,K2.15Pb1.7Sb8.15Se15,1
998,Hg6.5As4CdCl6,1
999,PbS,1
1000,CdS,1
1001,CsAsSe2,1
1002,TlCr5S5Se3,1
1003,AgSbTe2,1
1004,NaInTe2O6,1
1005,CdS,1
1006,Pb3Cl4TeO3,1
1007,Na0.5Pb1.75GeS4,1
1008,LiAsS2,1
1009,Cs4Ag9Sb4S12,1
1010,CuGa3Se5,1
1011,RuP2,1
1012,InSb,1
1013,ZnO,1
1014,AgGaS2,1
1015,CaI2,1
1016,GaAs0.99P0.01,1
1017,PbTe,1
1018,Nd2O3,1
1019,GeO2,1
1020,Hg0.77Cd0.23Te,1
1021,RbPbPO4,1
1022,Li2MoTeO6,1
1023,CuIn3Te5,1
1024,LiGd5P2O13,1
1025,AgS,1
1026,Li2HgSiS4,1
1027,InN,1
1028,CdSb,1
1029,EuTb2Se4,1
1030,As2S3,1
1031,GaSe,1
1032,CdGa2Se4,1
1033,CdSiAs2,1
1034,KBiCu2S3,1
1035,PbSe,1
1036,ZnIn2Se4,1
1037,InSe,1
1038,In2Bi3Se7I,1
1039,SbSBr,1
1040,Pb0.99TeIn0.01,1
1041,K2MnSnSe4,1
1042,IrSe2,1
1043,VFeSb,1
1044,LaGaS3,1
1045,CsBi2,1
1046,PbSnS3,1
1047,GeSe,1
1048,CaTe,1
1049,ZnIn2Se4,1
1050,RbNbSe2O7,1
1051,HgIn2Te4,1
1052,CdS0.55Se0.45,1
1053,K2S,1
1054,Zn0.99Hg0.01Se,1
1055,Tl4CdI6,1
1056,Cu0.1In1.9Se2.9,1
1057,PbTe,1
1058,BaSe,1
1059,HgBr2,1
1060,Cd3P2,1
1061,Ga1.1Sb0.9Te0.3,1
1062,Ag2O,1
1063,Cd3Sb2,1
1064,CsTm9Cd4Se18,1
1065,Bi2Te0.4Se2.6,1
1066,EuTe,1
1067,NaYTe4O10,1
1068,K2La2Ti3O10,1
1069,Pb0.99Ge0.01Se,1
1070,TlInTe2,1
1071,Pb0.9Se0.9Ge0.1S0.1,1
1072,K2Mo2Se2O11,1
1073,ZnIn2S4,1
1074,PbBr2,1
1075,As2S5,1
1076,LaCuOSe,1
1077,NaH3Se2O6,1
1078,IrSSe,1
